Alex;28/05/2022 23:27:06;28/05/2022 23:27:10
Alex;28/05/2022 23:28:12;28/05/2022 23:28:18
Alex;28/05/2022 23:33:34Alex;28/05/2022 23:34:23Alex;28/05/2022 23:35:40;28/05/2022 23:35:43;
Molina;28/05/2022 23:35:52;28/05/2022 23:35:59
Molina;28/05/2022 23:37:18;28/05/2022 23:37:21
Molina;28/05/2022 23:37:56;28/05/2022 23:38:02;
Alex;28/05/2022 23:38:15;28/05/2022 23:38:22
Alex;29/05/2022 2:18:49;29/05/2022 2:28:10
Alex;29/05/2022 2:48:22;29/05/2022 2:49:15
Alex;29/05/2022 2:49:38;29/05/2022 2:50:29
Alex;29/05/2022 2:51:36;29/05/2022 2:52:06;
Alex;29/05/2022 2:52:10;29/05/2022 2:57:08;
Alex;29/05/2022 2:57:16;29/05/2022 2:58:00;
Alex;29/05/2022 2:58:03;29/05/2022 3:00:56
Alex;29/05/2022 10:47:12;29/05/2022 10:48:15
Alex;29/05/2022 12:01:38Alex;29/05/2022 12:09:49;29/05/2022 12:10:54;
Alex;29/05/2022 12:11:00Alex;29/05/2022 12:14:08;29/05/2022 12:14:30
Alex;29/05/2022 12:15:37Alex;29/05/2022 12:16:38Alex;29/05/2022 12:17:49Alex;29/05/2022 12:19:03Alex;29/05/2022 12:19:21Alex;29/05/2022 12:19:36Alex;29/05/2022 12:21:01Alex;29/05/2022 12:26:42Alex;29/05/2022 12:28:04Alex;29/05/2022 12:28:23Alex;29/05/2022 12:29:07;29/05/2022 12:29:26;
Alex;29/05/2022 12:29:31Alex;29/05/2022 12:31:20;29/05/2022 12:31:46;
Alex;29/05/2022 12:32:03;29/05/2022 12:32:07;
Alex;29/05/2022 12:32:18;29/05/2022 12:32:22;
Alex;29/05/2022 12:32:49;29/05/2022 12:32:59;
Alex;29/05/2022 12:33:10;29/05/2022 12:33:16
Alex;29/05/2022 12:35:05;29/05/2022 12:35:10
Alex;29/05/2022 12:35:23Alex;29/05/2022 12:35:52;29/05/2022 12:36:10
Alex;29/05/2022 12:36:18;29/05/2022 12:36:39
Alex;29/05/2022 12:36:51;29/05/2022 12:37:09;
